Bastion,x,Z
1,3072,0
2,3008,-304
3,2992,1248
4,2928,2512
5,2784,-800
6,2752,-2688
7,2736,-400
8,2624,1776
9,2576,160
10,2544,1920
11,2416,-1536
12,2304,-2992
13,2080,-2704
14,2064,1680
15,2032,2560
16,2000,-1648
17,1952,-2032
18,1952,64
19,1808,-1584
20,1728,3072
21,1632,-2336
22,1584,-1104
23,1584,-944
24,1568,688
25,1568,1456
26,1488,2208
27,1360,-880
28,1328,1712
29,1248,1248
30,1232,240
31,1008,2720
32,1008,1984
33,976,704
34,848,-1408
35,816,176
36,704,656
37,688,-80
38,688,1280
39,656,-672
40,640,2672
41,576,2032
42,288,1072
43,240,-2496
44,208,288
45,160,1984
46,144,1456
47,128,624
48,112,-1744
49,64,2432
50,-176,1552
51,-224,-2736
52,-224,-2400
53,-288,2240
54,-304,400
55,-320,2544
56,-400,-1168
57,-592,768
58,-640,144
59,-656,2400
60,-784,-1408
61,-880,-80
62,-1200,-1872
63,-1216,-1056
64,-1216,-576
65,-1232,720
66,-1248,-256
67,-1312,2480
68,-1424,-2736
69,-1424,2112
70,-1520,2944
71,-1600,-1584
72,-1632,496
73,-1696,992
74,-1696,384
75,-1744,-2816
76,-1792,-352
77,-1920,1472
78,-2000,768
79,-2112,-2720
80,-2160,1984
81,-2192,1232
82,-2320,2496
83,-2496,2304
84,-2512,-2624
85,-2576,-1776
86,-2576,2624
87,-2592,400
88,-2624,-384
89,-2624,3072
90,-2640,-896
91,-2736,1680
92,-2800,-3040
93,-2864,-2272
