End City,x,Z
1,2968,40
2,2648,-2792
3,2648,1944
4,2632,-1512
5,2632,-552
6,2632,2648
7,2296,-2760
8,2296,1336
9,1656,1368
10,1640,760
11,1384,-1880
12,1000,2024
13,728,1000
14,712,-2184
15,696,-1496
16,680,1656
17,440,1000
18,-248,1688
19,-264,2648
20,-520,-1576
21,-584,-2504
22,-584,2328
23,-632,-1224
24,-840,2632
25,-872,1704
26,-1192,-904
27,-1192,-232
28,-1224,-2520
29,-1480,2296
30,-1496,1672
31,-1496,376
32,-1528,1992
33,-1832,-584
34,-1864,-2504
35,-2152,680
36,-2168,-2808
37,-2168,2008
38,-2168,984
39,-2504,-1816
40,-2504,696
41,-2520,-872
42,-2520,2344
43,-2776,-2504
44,-2776,1064
