Fossil,X,Z
1,5976,-3080
2,5976,-3224
3,5896,-3400
4,5896,-3384
5,5880,-3192
6,5848,-3176
7,5816,-3400
8,5784,-3256
9,5768,-3352
10,5672,-3288
11,5624,-3256
12,5560,-3416
13,5544,-3448
14,3352,3544
15,3336,3576
16,3320,3560
17,3304,2728
18,3288,2552
19,3272,3576
20,3256,3528
21,3224,2520
22,3224,2600
23,3224,3496
24,3160,2696
25,3128,2472
26,3128,2552
27,3112,2792
28,3096,2792
29,3016,4120
30,3000,3624
31,2952,2520
32,2952,4264
33,2872,2584
34,2856,2504
35,2856,2616
36,2856,2552
37,2840,2552
38,2824,4264
39,2808,2568
40,2792,4312
41,2760,4056
42,2712,4200
43,2712,4392
44,2680,4248
45,2648,4392
46,2616,4408
47,2520,4376
48,2488,4200
49,2424,3976
50,2424,4232
51,2376,4040
52,2376,4520
53,2280,4440
54,2168,4360
55,2056,2808
56,2024,2824
57,2024,2760
58,1992,3400
59,1992,2792
60,1960,3416
61,1912,2840
62,1832,3384
63,1784,2808
64,1624,3608
65,1624,3624
66,1624,3016
67,1608,3032
68,1528,2840
69,1464,2584
70,1448,2600
71,1016,2648
72,936,3144
73,872,2904
74,872,2888
75,856,2952
76,824,2888
77,808,3544
78,808,3576
79,760,2776
80,712,3576
81,456,2488
82,392,2728
83,392,2520
84,344,2728
85,296,2536
86,264,3000
87,264,2760
88,200,2376
89,200,2552
90,168,2248
91,152,2200
92,152,2280
93,120,2888
94,120,2264
95,88,2344
96,-2312,-920
97,-2376,-712
98,-2536,-824
99,-2584,-1016
100,-2584,-728
101,-2616,-824
102,-2616,-984
103,-2632,-824
104,-2664,-792
105,-2696,-1128
106,-2728,-744
107,-2744,-1144
108,-2760,-888
109,-2776,-856
110,-2776,-872
111,-2824,-1048
112,-2888,-1064
113,-2984,-2632
114,-3000,-2616
115,-3000,-1080
116,-3032,-2584
117,-3064,-2808
118,-3064,-2584
119,-3112,-1976
120,-3128,-2872
121,-3128,-3864
122,-3144,-2888
123,-3144,-2760
124,-3176,-2616
125,-3208,-2856
126,-3224,-2824
127,-3272,-2696
128,-3304,-2888
129,-3336,-2776
130,-3368,-2888
131,-3368,-2680
132,-3384,-2856
133,-3384,-2888
134,-3416,-2936
135,-3416,-2872
136,-3448,-2856
137,-3496,-2840
138,-3512,-2808
139,-3512,4040
140,-3528,-2888
141,-3576,4056
142,-3608,-2904
143,-3640,-2936
144,-3640,-2856
145,-3944,3880
