Nether Fortress,X,Z
1,2298,-1826
2,2297,-1953
3,2291,1644
4,2290,-1998
5,2289,-1764
6,2288,-1907
7,2287,-1779
8,2284,1847
9,2284,1787
10,2281,-833
11,2276,-136
12,2271,1766
13,2271,1850
14,2271,-851
15,2259,1683
16,2255,-892
17,2255,-853
18,2253,-1780
19,2253,-806
20,2252,-1762
21,2249,1826
22,2248,1817
23,2248,-835
24,2247,-940
25,2242,1730
26,2241,1841
27,2236,1777
28,2234,1717
29,2234,1804
30,2229,1758
31,2229,-937
32,2228,1773
33,2227,1812
34,2224,-890
35,2224,-42
36,2217,-892
37,2207,-913
38,2202,-892
39,2201,1741
40,2195,-797
41,2194,1837
42,2194,1136
43,2192,-55
44,2189,1864
45,2186,-307
46,2186,-277
47,2184,-940
48,2184,-327
49,2181,1903
50,2179,1911
51,2178,-342
52,2178,-59
53,2177,-818
54,2177,-247
55,2173,1878
56,2172,1080
57,2171,-759
58,2171,-279
59,2171,-229
60,2170,-160
61,2167,-86
62,2165,1129
63,2163,-467
64,2162,-333
65,2161,1761
66,2161,1862
67,2160,1911
68,2159,-154
69,2151,-267
70,2141,-231
71,2139,-507
72,2139,-381
73,2136,1097
74,2135,-326
75,2132,-354
76,2131,-670
77,2131,-427
78,2130,-831
79,2127,1862
80,2125,-736
81,2123,-436
82,2121,-789
83,2120,-750
84,2114,-60
85,2113,-949
86,2113,-774
87,2113,-210
88,2112,1851
89,2112,-693
90,2111,1883
91,2107,1835
92,2107,-786
93,2104,-609
94,2103,-256
95,2101,-504
96,2100,-310
97,2099,-882
98,2095,-254
99,2094,-773
100,2093,-752
101,2093,-107
102,2092,-297
103,2090,-182
104,2090,-96
105,2085,-512
106,2084,-854
107,2081,-537
108,2080,-221
109,2073,-92
110,2066,-788
111,2060,-101
112,2056,-840
113,2056,-996
114,2056,-419
115,2054,-764
116,2050,-122
117,2048,-728
118,2045,-590
119,2044,-1005
120,2043,-1012
121,2043,-384
122,2042,-674
123,2041,-792
124,2041,-107
125,2038,-465
126,2036,284
127,2035,-533
128,2033,-412
129,2033,314
130,2032,-166
131,2031,-704
132,2030,283
133,2027,-778
134,2026,292
135,2023,-127
136,2021,-662
137,2020,-362
138,2019,-153
139,2018,-393
140,2017,-565
141,2013,-680
142,2013,-536
143,2013,-193
144,2013,335
145,2010,-433
146,2010,295
147,2010,364
148,2009,-776
149,2007,-718
150,2007,-545
