Ruined Portal,X,Z
1,5992,-4984
2,5880,4040
3,5848,-2344
4,5800,5480
5,5784,2184
6,5784,-360
7,5768,1640
8,5768,-3512
9,5768,648
10,5512,-5080
11,5496,4232
12,5496,5960
13,5448,2664
14,5416,1560
15,5384,-2840
16,5368,2232
17,5352,-424
18,5336,3336
19,5320,5288
20,5320,-1768
21,5320,-1000
22,5304,-5688
23,5304,-2344
24,5256,4632
25,5176,664
26,5160,-3768
27,5144,200
28,5128,-4328
29,4872,-5656
30,4872,-2520
31,4856,-4168
32,4856,1000
33,4840,3240
34,4824,2296
35,4744,2904
36,4744,1544
37,4744,-4872
38,4744,-504
39,4664,3976
40,4648,-3816
41,4648,312
42,4552,-1736
43,4552,-2968
44,4520,5176
45,4504,4712
46,4504,-1208
47,4232,-5480
48,4216,392
49,4200,4488
50,4168,3896
51,4120,-4232
52,4120,-2552
53,4104,-2920
54,4104,-952
55,4088,5304
56,4056,1336
57,3976,2200
58,3976,5960
59,3944,-264
60,3928,3272
61,3912,-5080
62,3912,904
63,3896,2776
64,3896,-3544
65,3848,-1688
66,3512,2920
67,3496,2232
68,3496,-4344
69,3480,-2360
70,3448,744
71,3432,1624
72,3432,-5096
73,3416,3496
74,3416,4776
75,3416,-1096
76,3384,4136
77,3336,5384
78,3320,-1832
79,3304,-2904
80,3288,-5528
81,3256,-3512
82,3240,120
83,3224,-328
84,2952,24
85,2936,3592
86,2936,1576
87,2920,-3608
88,2904,5992
89,2904,-1048
90,2872,2216
91,2856,3992
92,2792,5192
93,2792,-5512
94,2792,-1624
95,2760,4488
96,2744,-600
97,2728,2728
98,2680,-3080
99,2648,-4920
100,2600,904
101,2584,-4264
102,2584,-2424
103,2296,120
104,2248,5400
105,2248,1480
106,2200,2888
107,2168,-2536
108,2152,-5448
109,2152,-344
110,2120,4616
111,2120,4072
112,2104,2168
113,2072,3288
114,2072,-4920
115,2056,968
116,2008,-4264
117,2008,-3064
118,1992,5848
119,1976,-1800
120,1976,-904
121,1960,-3496
122,1672,-4248
123,1672,-3064
124,1672,1608
125,1640,3240
126,1624,2584
127,1592,40
128,1576,-1160
129,1544,-3512
130,1512,5400
131,1512,5960
132,1480,4152
133,1480,-2552
134,1480,2264
135,1464,4712
136,1400,-1688
137,1384,-5048
138,1384,-5528
139,1336,744
140,1320,-264
141,1016,920
142,952,2120
143,936,152
144,920,-1752
145,888,5928
146,888,-4872
147,872,4776
148,872,-3560
149,856,1368
150,840,-4264
151,824,3960
152,808,-280
153,792,-5560
154,712,-2872
155,712,-1016
156,696,3288
157,680,-2296
158,680,2744
159,664,5288
160,376,4776
161,376,-2856
162,360,2648
163,312,1624
164,296,-4136
165,280,-5112
166,248,-5720
167,248,-2408
168,232,5400
169,232,5912
170,216,4120
171,200,-3688
172,136,-424
173,104,-968
174,72,3512
175,72,-1896
176,56,184
177,40,2312
178,24,648
179,-248,-616
180,-264,1608
181,-296,184
182,-312,-3192
183,-344,-4376
184,-360,4792
185,-376,2936
186,-408,2312
187,-408,-1656
188,-408,-2312
189,-424,-3576
190,-488,3240
191,-552,-4888
192,-584,-1192
193,-600,5288
194,-600,4024
195,-616,-5640
196,-632,648
197,-920,872
198,-920,-3688
199,-936,5912
200,-936,1640
201,-936,40
202,-1000,5432
203,-1000,3480
204,-1048,-936
205,-1048,-3128
206,-1048,-4744
