Ruined Portal,X,Z
1,3032,-1480
2,3032,-1016
3,3016,600
4,2984,904
5,2936,-2728
6,2904,2952
7,2904,1624
8,2904,1256
9,2904,-184
10,2904,-568
11,2872,-1848
12,2840,2120
13,2824,2536
14,2808,-2296
15,2808,72
16,2632,424
17,2616,-2184
18,2616,1816
19,2616,232
20,2600,2808
21,2568,2616
22,2536,1240
23,2520,-1512
24,2504,-1880
25,2504,-344
26,2488,-968
27,2456,1016
28,2440,-2632
29,2424,-712
30,2408,2232
31,2216,-2664
32,2216,3016
33,2216,1432
34,2184,-1784
35,2184,-168
36,2152,1720
37,2152,904
38,2136,-2312
39,2136,2136
40,2136,-776
41,2120,120
42,2120,-1192
43,2088,424
44,2040,-1480
45,2024,2456
46,1816,2232
47,1800,504
48,1784,-648
49,1784,-360
50,1768,-3000
51,1752,-1144
52,1736,2552
53,1720,-2248
54,1720,-1800
55,1704,-1544
56,1688,1608
57,1672,1336
58,1672,184
59,1656,856
60,1640,2808
61,1624,-2664
62,1416,-664
63,1400,2472
64,1368,-1864
65,1352,-264
66,1352,2088
67,1336,-1080
68,1336,200
69,1320,-2376
70,1304,1368
71,1288,-1496
72,1256,488
73,1240,2936
74,1240,1768
75,1208,-2664
76,1208,920
77,1032,200
78,1000,-1432
79,1000,-1128
80,1000,-344
81,1000,2040
82,984,-2232
83,984,1704
84,936,-600
85,920,1384
86,904,2952
87,872,-1944
88,872,-2728
89,872,808
90,856,504
91,840,2632
92,616,600
93,600,-1112
94,584,2440
95,568,-3032
96,552,-2200
97,552,-616
98,536,152
99,536,2168
100,520,-2664
101,520,1624
102,488,-280
103,472,-1992
104,472,1400
105,472,3016
106,456,968
107,440,-1576
108,216,-1976
109,216,-2776
110,216,-344
111,216,2520
112,184,-728
113,184,568
114,168,-1448
115,152,984
116,136,24
117,136,2936
118,120,-2328
119,120,1768
120,72,-1176
121,72,2072
122,40,-3032
123,40,1272
124,-168,-1592
125,-168,-1096
126,-168,1432
127,-216,104
128,-216,1736
129,-248,-216
130,-248,2200
131,-264,-2776
132,-264,-712
133,-264,808
134,-312,-3048
135,-344,-2296
136,-360,2584
137,-360,3032
138,-392,-1992
139,-392,408
140,-568,-1928
141,-600,-1512
142,-600,-2168
143,-600,-2792
144,-600,552
145,-600,1704
146,-632,1272
147,-648,-696
148,-680,2200
149,-744,-1128
150,-760,2488
151,-776,-264
152,-776,40
153,-776,920
154,-776,2952
155,-968,-648
156,-984,1400
157,-984,1768
158,-1000,-200
159,-1016,2408
160,-1064,-2984
161,-1064,2008
162,-1080,-1768
163,-1080,888
164,-1096,-1096
165,-1096,-2248
166,-1096,584
167,-1160,152
168,-1176,3032
169,-1192,-2792
170,-1192,-1560
171,-1368,2072
172,-1384,24
173,-1384,408
174,-1464,-2216
175,-1464,-1144
176,-1464,-264
177,-1480,-2744
178,-1480,-616
179,-1496,936
180,-1496,2952
181,-1512,1432
182,-1512,1704
183,-1512,2424
184,-1528,-1576
185,-1544,-1912
186,-1784,1368
187,-1816,-1992
188,-1832,56
189,-1832,-712
190,-1848,-1464
191,-1848,2120
192,-1864,600
193,-1864,2536
194,-1896,1752
195,-1928,-3064
196,-1928,-2392
197,-1944,-2696
198,-1960,-216
199,-1960,2872
200,-1976,-1096
201,-1992,888
202,-2184,1336
203,-2200,-568
204,-2248,-3016
205,-2264,216
206,-2280,-1400
207,-2280,2552
208,-2296,-968
209,-2328,-1912
210,-2344,984
211,-2360,-2216
212,-2360,2168
213,-2376,-328
214,-2376,408
215,-2376,1704
216,-2392,-2616
217,-2392,2856
218,-2584,-1032
219,-2600,808
220,-2616,-760
221,-2616,2120
222,-2616,2568
223,-2616,2936
224,-2632,520
225,-2648,-1448
226,-2664,-2984
227,-2664,184
228,-2680,1816
229,-2696,-2648
230,-2712,1288
231,-2728,-2360
232,-2744,-1992
233,-2776,-344
234,-2968,2904
235,-2984,-1080
236,-3000,2136
237,-3032,104
238,-3032,2456
239,-3048,-2184
240,-3064,-1464
241,-3064,568
