Shipwrecks,X,Z
1,5944,-456
2,5896,2168
3,5832,5096
4,5800,-152
5,5800,1256
6,5688,5144
7,5672,4328
8,5656,5592
9,5608,2072
10,5528,1368
11,5416,-360
12,5384,584
13,5096,-1000
14,5032,1992
15,4744,1672
16,4008,2408
17,3960,1848
18,3928,3672
19,3912,1976
20,3768,4616
21,3720,1432
22,3688,2744
23,3656,5640
24,3608,-4600
25,3560,-4200
26,3560,1928
27,3560,2600
28,3528,-5576
29,3528,1560
30,3512,-2824
31,3480,3368
32,3336,5768
33,3320,2808
34,3288,2152
35,3272,3112
36,3224,-2184
37,3208,1352
38,3144,4040
39,3144,4536
40,3112,4696
41,3096,-4728
42,3000,5544
43,2968,2760
44,2888,-4904
45,2888,-1992
46,2840,3320
47,2808,1656
48,2808,5880
49,2776,3544
50,2744,3848
51,2712,-4584
52,2712,2104
53,2696,-1880
54,2616,-2392
55,2520,5672
56,2488,2872
57,2456,-5352
58,2408,1752
59,2392,1976
60,2376,-2008
61,2360,-4952
62,2360,-328
63,2360,3192
64,2344,3608
65,2328,2552
66,2328,5016
67,2312,4760
68,2216,2712
69,2168,3752
70,2168,5896
71,2152,-1352
72,2136,3880
73,2088,-728
74,2072,-232
75,2024,2408
76,2024,1704
77,2024,3128
78,1992,2184
79,1960,-2392
80,1960,4888
81,1960,1240
82,1928,5128
83,1848,4536
84,1784,4776
85,1784,1784
86,1784,1320
87,1784,-2168
88,1752,-2952
89,1720,-5096
90,1672,-1912
91,1656,776
92,1640,280
93,1592,-1480
94,1560,-712
95,1464,1272
96,1432,-5224
97,1416,4424
98,1400,72
99,1400,-2040
100,1384,440
101,1304,5624
102,1304,-984
103,1304,-1400
104,1288,2008
105,1272,5288
106,1256,904
107,1256,-1848
108,1256,-3304
109,1256,-2952
110,1224,-680
111,1208,4104
112,1064,5128
113,1048,-1816
114,1032,648
115,1000,5400
116,1000,-1496
117,1000,-2552
118,968,-2120
119,936,4472
120,936,-3288
121,920,5816
122,904,-1032
123,888,-5160
124,872,-376
125,872,-456
126,664,-4360
127,648,-3192
128,536,1208
129,504,5560
130,504,968
131,504,-712
132,504,-4904
133,456,-3560
134,440,-968
135,424,-1496
136,424,-1608
137,392,-248
138,392,-2536
139,392,-5464
140,280,24
141,216,-3144
142,200,1208
143,184,-920
144,168,1080
145,168,-2632
146,168,-5192
147,152,-1640
148,152,-3736
149,136,5288
150,104,600
151,8,-2952
152,-104,824
153,-104,-5912
154,-200,-3320
155,-248,-1784
156,-248,-2488
157,-280,-5560
158,-488,808
159,-520,1928
160,-520,1352
161,-536,-2088
162,-664,72
163,-744,-1752
164,-856,5128
165,-888,1688
166,-968,1016
167,-1000,4328
168,-1016,5464
169,-1112,3864
170,-1112,4856
171,-1224,-4408
172,-1240,-1320
173,-1272,-4872
174,-1272,3096
175,-1384,3576
176,-1448,4232
177,-1480,2168
178,-1480,5304
179,-1512,3912
180,-1528,-1656
181,-1640,2920
182,-1672,-4376
183,-1704,3128
184,-1720,4296
185,-1768,-2152
186,-1768,2328
187,-1768,5656
188,-1784,-1672
189,-1832,-5736
190,-1880,3944
191,-1912,-904
192,-1992,-3048
193,-2040,2360
194,-2040,5192
195,-2072,-3448
196,-2120,4072
197,-2152,-5576
198,-2200,4616
199,-2216,1784
200,-2264,-376
201,-2280,4296
202,-2280,5656
203,-2296,-1704
204,-2392,5064
205,-2424,2024
206,-2440,-1640
207,-2504,-344
208,-2520,-4952
209,-2520,-3048
210,-2520,4808
211,-2536,2712
212,-2552,1704
213,-2600,-5464
214,-2632,2616
215,-2664,-2248
216,-2840,-5304
217,-2856,3544
218,-2904,2136
219,-2920,-2760
220,-3048,-3640
221,-3144,-3592
222,-3144,3512
223,-3400,2808
224,-3448,3240
225,-3560,-472
226,-3560,2872
227,-3576,-3736
228,-3624,3944
229,-3672,-3432
230,-3688,3256
231,-3768,3528
232,-4088,3240
233,-4296,-5576
234,-4408,-1416
235,-4408,-5368
236,-4424,-5928
237,-4440,2232
238,-4536,-2056
239,-4600,-984
240,-4712,2136
241,-4760,-4168
242,-4792,-5624
243,-4872,-744
244,-4952,-4488
245,-4968,5640
246,-5080,5464
247,-5128,-5336
248,-5160,-3560
249,-5208,-2184
250,-5640,-5096
251,-5720,-632
252,-5752,5768
253,-5752,-5944
254,-5896,1384
255,-5992,-2120
