Trail Ruins,X,Z
1,5459,301
2,5027,-2451
3,4942,-3214
4,4594,-3602
5,4526,290
6,4467,-829
7,4451,2419
8,4366,942
9,4158,830
10,4157,-5667
11,4066,-3042
12,4061,1117
13,3986,366
14,3965,-227
15,3870,-1618
16,3539,29
17,3506,-1358
18,3309,-5357
19,3037,-3987
20,2206,222
21,1826,-4078
22,1218,2562
23,563,1709
24,-530,3650
25,-882,2974
26,-1277,-989
27,-1902,-4334
28,-2083,-813
29,-2173,-317
30,-2674,738
31,-2675,5677
32,-3005,5683
33,-3779,-1283
34,-4322,-2018
35,-5741,1203
