Buried Treasure,X,Z
1,5976,-1912
2,5960,5576
3,5960,1032
4,5960,-1848
5,5912,5960
6,5912,5960
7,5896,5704
8,5896,5640
9,5896,5576
10,5896,5512
11,5896,2824
12,5848,5704
13,5848,-1784
14,5832,2696
15,5832,1288
16,5832,-5496
17,5784,-5432
18,5768,1736
19,5768,1624
20,5768,328
21,5768,264
22,5720,264
23,5704,2584
24,5704,1736
25,5704,1608
26,5704,1176
27,5704,328
28,5656,1608
29,5656,392
30,5640,4168
31,5640,1736
32,5640,1544
33,5640,1160
34,5640,584
35,5640,520
36,5640,264
37,5640,-1448
38,5592,4168
39,5592,520
40,5576,5640
41,5576,1672
42,5576,584
43,5576,-1464
44,5528,5592
45,5528,456
46,5464,2440
47,5464,840
48,5448,2376
49,5448,328
50,5448,-1336
51,5400,-120
52,5384,776
53,5320,2312
54,5320,280
55,5320,-168
56,5256,1224
57,5256,1176
58,5256,-1336
59,5208,328
60,5192,-168
61,5192,-248
62,5128,4376
63,5128,4232
64,5128,4184
65,5128,3608
66,5128,2376
67,5128,-1272
68,5080,4296
69,5064,4424
70,5064,4376
71,5064,3976
72,5064,3928
73,5064,3848
74,5064,3592
75,5064,1160
76,5064,904
77,5016,4232
78,5016,3528
79,5000,-1400
80,4952,3288
81,4952,1288
82,4936,5512
83,4936,24
84,4888,3784
85,4872,5576
86,4872,3848
87,4872,1240
88,4872,-184
89,4824,5592
90,4824,1240
91,4808,712
92,4760,5656
93,4744,5592
94,4744,-744
95,4696,200
96,4680,2440
97,4680,-5816
98,4632,-5864
99,4616,3544
100,4616,3336
101,4616,136
102,4568,5576
103,4552,392
104,4552,328
105,4552,264
106,4552,-5496
107,4552,-5560
108,4552,-5944
109,4504,5064
110,4504,5000
111,4504,3464
112,4504,-5816
113,4504,-5944
114,4488,5512
115,4488,4808
116,4488,4744
117,4488,-5752
118,4488,-5880
119,4440,5064
120,4424,2376
121,4424,2328
122,4424,-5560
123,4424,-5752
124,4424,-5880
125,4376,5064
126,4376,-5560
127,4360,5000
128,4360,4760
129,4360,2376
130,4360,2328
131,4360,1496
132,4360,-5624
133,4312,2888
134,4296,5512
135,4296,4760
136,4296,2840
137,4296,2248
138,4296,1496
139,4296,1432
140,4248,2248
141,4232,4760
142,4232,1480
143,4168,2696
144,4168,2312
145,4168,2248
146,4168,1416
147,4104,5512
148,4104,1432
149,4056,5576
150,4056,-2552
151,4056,-2616
152,4056,-5432
153,4040,5640
154,4040,3400
155,4040,1416
156,4040,-760
157,3992,-4664
158,3976,-2552
159,3976,-4280
160,3976,-5560
161,3928,5000
162,3928,4552
163,3928,3976
164,3928,-2552
165,3912,5576
166,3912,3912
167,3912,-4216
168,3912,-5608
169,3864,3912
170,3848,4744
171,3848,4440
172,3848,3848
173,3848,-2680
174,3848,-4792
175,3800,5592
176,3800,5448
177,3800,4488
178,3800,-5688
179,3784,5656
180,3736,-2808
181,3720,5960
182,3720,5640
183,3720,5448
184,3720,4552
185,3720,3848
186,3672,5960
187,3672,-2296
188,3672,-2744
189,3656,5912
190,3656,5576
191,3656,4680
192,3656,-824
193,3656,-2808
194,3656,-3064
195,3656,-3128
196,3656,-3176
197,3608,5832
198,3592,5784
199,3592,4680
200,3592,3912
201,3592,-2680
202,3592,-2744
203,3592,-2808
204,3592,-3000
205,3592,-3256
206,3592,-5688
207,3544,3848
208,3544,-2296
209,3544,-5048
210,3528,5832
211,3528,4744
212,3528,4680
213,3528,-2680
214,3528,-2744
215,3528,-3048
216,3528,-3112
217,3528,-3960
218,3480,5848
219,3480,-2232
220,3480,-3048
221,3464,4104
222,3464,1096
223,3464,-824
224,3464,-3128
225,3416,-824
226,3400,-1080
227,3400,-1128
228,3400,-2168
229,3400,-5496
230,3352,-2040
231,3336,-888
232,3336,-952
233,3336,-1016
234,3336,-1912
235,3336,-4024
236,3288,-1832
237,3272,2520
238,3272,1112
239,3272,-296
240,3272,-1336
241,3272,-1464
242,3272,-2984
243,3224,-1272
244,3208,5960
245,3208,-2920
246,3208,-3064
247,3160,5896
248,3160,4360
249,3160,1096
250,3160,-2936
251,3160,-3048
252,3144,4680
253,3144,4552
254,3144,4504
255,3144,4424
256,3144,904
257,3144,-1080
258,3144,-1144
259,3144,-4200
260,3096,4440
261,3096,-888
262,3096,-2808
263,3080,4824
264,3080,4744
265,3080,-616
266,3080,-1016
267,3080,-2856
268,3080,-2920
269,3032,5960
270,3016,1288
271,3016,840
272,3016,-760
273,3016,-888
274,3016,-952
