Mineshaft,X,Z
1,-5992,-3864
2,-5992,-3656
3,-5992,2168
4,-5992,2296
5,-5992,5528
6,-5992,5224
7,-5976,-5544
8,-5976,2456
9,-5976,3976
10,-5960,-2200
11,-5960,2712
12,-5960,3416
13,-5944,-328
14,-5944,1800
15,-5944,3144
16,-5944,3816
17,-5928,-5768
18,-5928,-3528
19,-5928,-2568
20,-5928,-2216
21,-5864,-4904
22,-5864,-3928
23,-5848,-2200
24,-5848,-648
25,-5848,648
26,-5848,3560
27,-5832,-5320
28,-5832,-3240
29,-5832,-3080
30,-5832,-1576
31,-5832,136
32,-5832,328
33,-5832,2952
34,-5832,3192
35,-5832,4104
36,-5816,-200
37,-5816,392
38,-5800,-1784
39,-5800,1752
40,-5784,-5112
41,-5784,-1224
42,-5784,5688
43,-5768,-5416
44,-5768,-3704
45,-5752,-3800
46,-5752,-3112
47,-5752,3336
48,-5752,3432
49,-5736,3048
50,-5736,5080
51,-5736,4840
52,-5720,-568
53,-5720,4664
54,-5704,-1112
55,-5688,-5032
56,-5688,-2328
57,-5688,-3544
58,-5688,-1848
59,-5688,2680
60,-5688,5160
61,-5672,-5016
62,-5672,-360
63,-5672,4824
64,-5656,3992
65,-5640,-1240
66,-5624,-1640
67,-5624,2296
68,-5608,-4296
69,-5608,-2680
70,-5608,-3400
71,-5608,-1816
72,-5608,-664
73,-5608,1624
74,-5608,4072
75,-5608,4024
76,-5608,4968
77,-5592,-4408
78,-5592,-2648
79,-5592,3528
80,-5576,-3464
81,-5576,200
82,-5576,1528
83,-5576,3176
84,-5560,-952
85,-5560,2984
86,-5560,3048
87,-5544,-1208
88,-5544,-24
89,-5544,4008
90,-5528,-4296
91,-5512,-904
92,-5512,4424
93,-5512,5384
94,-5512,5560
95,-5496,-344
96,-5496,1288
97,-5480,-872
98,-5480,2328
99,-5464,-1208
100,-5464,-600
101,-5464,4008
102,-5464,5464
103,-5448,-1176
104,-5448,-568
105,-5448,-280
106,-5432,-5928
107,-5432,-2392
108,-5432,-1896
109,-5432,5784
110,-5416,-4200
111,-5416,-920
112,-5416,4776
113,-5400,-5640
114,-5400,3976
115,-5400,5544
116,-5384,2120
117,-5384,1896
118,-5368,-2456
119,-5368,-648
120,-5352,-5784
121,-5352,-2504
122,-5336,-1656
123,-5336,-2184
124,-5336,-2232
125,-5336,3992
126,-5320,-4296
127,-5320,1976
128,-5320,1928
129,-5320,3576
130,-5320,3384
131,-5320,4280
132,-5304,-1016
133,-5304,-312
134,-5288,-5448
135,-5288,-4456
136,-5288,-3352
137,-5288,824
138,-5288,3384
139,-5272,-3752
140,-5272,-2216
141,-5272,88
142,-5272,1432
143,-5272,3288
144,-5256,-1448
145,-5240,-200
146,-5240,3336
147,-5224,-4760
148,-5208,-4872
149,-5208,-2648
150,-5208,-984
151,-5208,2088
152,-5208,744
153,-5192,-5864
154,-5176,-5176
155,-5176,5240
156,-5160,-2520
157,-5160,-1352
158,-5160,2152
159,-5160,5512
160,-5144,552
161,-5128,-5208
162,-5128,-5640
163,-5128,-1160
164,-5128,4888
165,-5112,-2856
166,-5112,-2072
167,-5112,5736
168,-5096,-5864
169,-5096,-3832
170,-5096,232
