Ocean Monument,X,Z
1,5912,5256
2,5880,-1208
3,5800,-376
4,5736,-744
5,5336,-648
6,5272,1800
7,4296,1784
8,3864,2328
9,3832,1784
10,3784,-4344
11,3656,3416
12,3640,5240
13,3320,1336
14,2744,1288
15,2728,-1800
16,2712,5288
17,2664,1784
18,2360,5944
19,2216,5416
20,1880,4712
21,1800,5256
22,1752,-312
23,1672,1320
24,1656,5848
25,1624,648
26,1560,-824
27,1352,-872
28,1304,-2232
29,1304,5960
30,1272,-200
31,1224,248
32,1176,5400
33,1112,-1672
34,1112,-1432
35,920,-1336
36,712,776
37,648,-888
38,616,-2248
39,600,-1736
40,344,-2152
41,328,1128
42,296,-1720
43,296,-792
44,248,-1368
45,232,-2840
46,56,-6040
47,-280,-6040
48,-376,-1864
49,-1368,3768
50,-1480,5784
51,-1752,3688
52,-1752,3240
53,-1800,4792
54,-1864,1848
55,-1912,4264
56,-1912,2760
57,-1960,2360
58,-2280,4392
59,-2312,2696
60,-2328,2264
61,-2456,-1256
62,-2472,-2856
63,-2488,4888
64,-3288,3384
65,-3416,3816
66,-3768,-376
67,-3944,-5912
68,-4312,-5384
69,-4824,-4360
70,-4936,-5432
71,-5976,1704
