Ocean Ruins,X,Z
1,5944,104
2,5944,2312
3,5944,4872
4,5912,-552
5,5912,1976
6,5912,1784
7,5880,-168
8,5880,2600
9,5864,1384
10,5832,728
11,5816,5160
12,5784,392
13,5624,1288
14,5624,5464
15,5560,-520
16,5560,-184
17,5512,2376
18,5496,4984
19,5480,5288
20,5464,-936
21,5464,40
22,5464,1688
23,5464,2104
24,5448,-1144
25,5448,648
26,5304,2264
27,5304,1640
28,5272,1464
29,5256,-920
30,5256,-280
31,5256,1960
32,5176,712
33,5144,-552
34,4968,2296
35,4968,1704
36,4968,2040
37,4920,-792
38,4824,56
39,4648,2104
40,4648,1736
41,4632,3368
42,4616,1368
43,4504,5176
44,4344,2008
45,4312,5240
46,4280,1640
47,3992,2376
48,3976,3672
49,3960,1752
50,3960,2712
51,3960,5144
52,3928,3048
53,3896,1960
54,3896,3288
55,3896,5512
56,3880,-5400
57,3848,-4952
58,3672,-5336
59,3672,-4936
60,3672,5160
61,3656,3000
62,3640,-5576
63,3624,-4456
64,3624,2696
65,3624,3608
66,3608,1304
67,3608,1752
68,3608,4856
69,3576,-4680
70,3576,2376
71,3560,3336
72,3560,5624
73,3528,-2808
74,3528,1080
75,3528,2072
76,3384,5768
77,3384,5128
78,3368,-4136
79,3352,-4696
80,3352,-2200
81,3352,3224
82,3336,2280
83,3336,3000
84,3336,3960
85,3320,-5096
86,3304,1448
87,3304,1608
88,3304,5480
89,3224,-5288
90,3224,-2760
91,3224,1976
92,3208,-4360
93,3208,-2552
94,3064,-1480
95,3064,1368
96,3048,2328
97,3032,5160
98,3016,1976
99,3000,-1880
100,3000,3048
101,3000,3384
102,2984,2728
103,2984,4968
104,2968,4008
105,2952,-4760
106,2952,-2216
107,2936,1672
108,2936,5880
109,2920,-5064
110,2920,5512
111,2904,-2504
112,2744,3352
113,2744,2376
114,2728,-5112
115,2728,2744
116,2728,2904
117,2728,3960
118,2664,1688
119,2648,5464
120,2648,5912
121,2632,-5304
122,2632,1976
123,2632,3704
124,2616,-4632
125,2616,-1576
126,2616,-2056
127,2600,-1848
128,2584,1352
129,2584,4824
130,2568,5240
131,2424,-216
132,2424,1432
133,2424,3048
134,2424,4984
135,2408,-2392
136,2408,-2184
137,2408,-1912
138,2392,1688
139,2376,-5704
140,2376,2392
141,2344,-584
142,2344,3640
143,2344,5272
144,2328,1128
145,2312,-4776
146,2312,2616
147,2312,5448
148,2296,-1208
149,2280,4584
150,2280,5800
151,2264,3352
152,2264,2056
153,2104,1128
154,2104,4296
155,2104,4536
156,2072,-184
157,2072,2424
158,2056,-1256
159,2056,3000
