Trail Chamber,X,Z
1,5975,807
2,5975,-4791
3,5769,-4135
4,5705,2455
5,5705,23
6,5689,-5321
7,5687,-839
8,5687,-3257
9,5671,4569
10,5657,2873
11,5657,-1609
12,5655,-5671
13,5623,5655
14,5593,4967
15,5593,3449
16,5593,1831
17,5593,-1929
18,5559,3895
19,5545,-343
20,5511,1241
21,5511,697
22,5511,-3735
23,5463,-2409
24,5209,-921
25,5209,-3767
26,5175,1785
27,5161,1097
28,5145,-2617
29,5129,2297
30,5079,3497
31,5079,201
32,5065,-4137
33,5049,3897
34,5049,-5287
35,5047,-4713
36,5031,4487
37,5015,-3161
38,4969,-5833
39,4967,809
40,4967,-1849
41,4953,5079
42,4937,5639
43,4921,-1335
44,4905,-361
45,4697,-5735
46,4665,-4791
47,4663,2711
48,4617,-2633
49,4617,-3031
50,4599,-1543
51,4599,-4167
52,4567,3991
53,4553,2487
54,4535,1897
55,4521,5655
56,4505,-441
57,4471,-761
58,4441,345
59,4409,4951
60,4409,-5161
61,4407,-3591
62,4393,-2135
63,4391,3593
64,4359,4361
65,4359,583
66,4359,1351
67,4153,-329
68,4135,3865
69,4135,-4873
70,4105,-1383
71,4103,2297
72,4073,3577
73,4055,-5977
74,3991,4377
75,3975,1863
76,3975,-3655
77,3959,5705
78,3945,-1031
79,3943,4985
80,3897,-4231
81,3895,713
82,3881,5975
83,3881,2951
84,3879,-2711
85,3847,-5335
86,3831,105
87,3815,1415
88,3559,3527
89,3559,2281
90,3559,-919
91,3543,1817
92,3513,-4743
93,3511,-4119
94,3495,-5209
95,3479,4009
96,3479,649
97,3479,-3801
98,3463,4983
99,3463,2711
100,3463,-1369
101,3433,1255
102,3433,-3111
103,3431,4519
104,3383,-1977
105,3337,-2457
106,3303,-5671
107,3273,281
108,3255,-265
109,3255,5591
110,3031,5159
111,3017,-5927
112,2999,-2103
113,2953,2231
114,2889,1719
115,2873,-1415
116,2873,4631
117,2871,-5383
118,2871,2969
119,2857,-4617
120,2839,121
121,2807,-2487
122,2793,-3703
123,2793,-2985
124,2793,-1063
125,2791,-4087
126,2791,3481
127,2791,4073
128,2777,1223
129,2777,761
130,2743,5785
131,2711,-343
132,2521,-5833
133,2503,-1991
134,2503,791
135,2487,-4137
136,2473,4071
137,2441,167
138,2423,1879
139,2409,2489
140,2407,-873
141,2407,3305
142,2393,1255
143,2377,-295
144,2313,2839
145,2311,-5431
146,2295,-2487
147,2265,-3719
148,2265,5721
149,2249,-1561
150,2231,-4647
151,2217,5193
152,2167,4487
153,1961,-3593
154,1929,-1607
155,1929,3993
156,1927,2761
157,1927,3497
158,1895,2391
159,1895,5737
160,1801,4633
161,1769,-1079
162,1753,1641
163,1737,-2663
164,1735,135
165,1719,4903
166,1719,871
167,1705,-5975
168,1687,1383
169,1673,-5129
170,1657,-3273
171,1655,-4791
172,1655,-393
173,1623,-2151
174,1401,-809
175,1399,-5993
176,1383,3961
177,1351,-2105
178,1351,9
179,1287,2871
180,1257,839
181,1255,-5207
182,1239,1783
183,1225,-249
184,1207,5687
185,1175,-2487
186,1161,-2983
187,1143,-4647
188,1127,4503
189,1113,2183
190,1097,-3527
191,1097,1161
192,1095,5079
193,1079,-1305
194,873,1143
195,823,-1287
196,809,4409
197,791,3991
198,775,-3145
199,761,2457
200,759,873
201,745,-4217
202,743,-5815
203,729,297
204,713,-487
205,711,-4887
206,697,-2665
207,695,-3801
208,665,4921
209,649,-5319
210,617,3367
211,601,1735
212,599,2951
213,583,-743
214,583,5465
215,569,-1881
216,327,-3671
217,327,3385
218,281,3961
219,279,4585
220,263,-521
221,249,-5689
222,247,-4279
223,247,711
224,247,215
225,215,3001
226,169,-5401
227,121,-1369
228,119,-2105
229,119,-2505
230,119,2265
231,87,4903
232,57,1655
233,55,5465
234,41,-3129
235,41,-1047
236,7,1193
237,-9,-4631
238,-199,-4329
239,-231,3993
240,-233,-5945
241,-281,-743
242,-297,87
243,-311,5703
244,-327,3479
245,-359,-3625
246,-361,1191
247,-375,-5287
248,-377,-473
249,-409,-3111
250,-439,-2057
251,-439,697
252,-503,-1353
253,-503,1641
254,-503,4553
255,-521,2359
256,-535,4953
257,-537,2759
258,-553,-2487
259,-761,889
260,-775,5511
261,-793,-2599
262,-809,-2999
263,-809,2249
264,-839,4567
265,-857,-5417
266,-871,-4023
267,-871,-1399
268,-873,-1961
269,-889,2825
270,-921,-4873
271,-951,-5657
272,-953,1785
273,-983,345
274,-985,5145
275,-1015,3545
276,-1049,1417
277,-1063,-3481
278,-1065,3833
279,-1081,-791
280,-1287,873
281,-1319,-3641
282,-1335,1833
283,-1337,3033
284,-1353,-841
285,-1369,3929
286,-1383,1337
287,-1417,-1879
288,-1431,2183
289,-1433,5031
290,-1447,-5735
291,-1447,5673
292,-1463,-4343
293,-1527,-5111
294,-1591,-1321
295,-1607,-4681
296,-1607,-2503
297,-1609,4617
298,-1623,-3047
299,-1623,-247
300,-1641,3481
301,-1831,-2935
302,-1847,4137
303,-1865,-1385
304,-1881,1863
305,-1897,-4023
306,-1927,-2151
307,-1927,663
308,-1929,-5865
309,-1929,-5399
310,-1929,-265
311,-1943,1353
312,-1961,-3593
313,-1975,2761
314,-1993,-2505
315,-2007,2167
316,-2007,4967
317,-2023,57
318,-2057,3383
319,-2105,4409
320,-2121,-967
321,-2135,5655
322,-2151,-4585
323,-2375,-4681
324,-2457,1351
325,-2471,4343
326,-2487,89
327,-2489,3913
328,-2505,-3735
329,-2519,-855
330,-2519,2887
331,-2535,-393
332,-2569,-1383
333,-2569,-4281
334,-2583,5449
335,-2585,-5751
336,-2599,1959
337,-2601,-2631
338,-2649,-3241
339,-2649,-5111
340,-2679,2505
341,-2695,3593
342,-2713,-2087
343,-2729,4951
344,-2919,-521
345,-2951,2377
346,-2953,-3239
347,-2983,-4039
348,-2983,4105
349,-3033,-1465
350,-3047,-5351
351,-3047,1961
352,-3049,-4887
353,-3049,297
354,-3063,-2185
355,-3081,2841
356,-3097,-3593
357,-3113,5081
358,-3127,3609
359,-3191,-2553
360,-3191,-5911
361,-3207,-951
362,-3255,1319
363,-3273,4681
364,-3463,-1383
365,-3463,-5719
366,-3463,4441
367,-3497,4041
368,-3511,729
369,-3513,2489
370,-3545,-3785
371,-3559,-1079
372,-3561,-2071
373,-3575,-5415
374,-3607,3497
375,-3623,-4023
376,-3625,-2567
377,-3657,-4649
378,-3689,1657
379,-3703,-3015
380,-3703,-199
381,-3721,3031
382,-3737,217
383,-3737,1225
384,-3753,4921
385,-4039,-855
386,-4073,-3639
387,-4087,-4103
388,-4087,-5785
389,-4089,5449
390,-4105,1799
391,-4105,4969
392,-4119,631
393,-4119,2167
394,-4121,-4809
395,-4183,-2441
396,-4185,-2969
397,-4217,-2137
398,-4217,4585
399,-4231,1223
400,-4233,3369
401,-4247,-5159
402,-4279,-231
403,-4295,4041
404,-4297,-1625
405,-4329,2919
406,-4345,-9
407,-4551,4951
408,-4601,-1929
409,-4615,-247
