Village,X,Z
1,6120,-5240
2,6040,-4600
3,5784,-3560
4,5656,-2568
5,5624,2872
6,5592,296
7,5576,-2040
8,5576,1272
9,5560,4712
10,5272,4616
11,5112,-4552
12,5096,4120
13,5064,-1960
14,5048,-184
15,5016,-2456
16,5000,616
17,4968,-3624
18,4680,-1432
19,4632,-5608
20,4632,-3096
21,4536,664
22,4488,248
23,4472,-1992
24,4456,-2488
25,4440,4104
26,4184,200
27,4136,1288
28,4024,-984
29,4008,648
30,3976,-4136
31,3960,-2152
32,3944,4984
33,3880,-328
34,3480,-5944
35,3480,-456
36,3432,-1416
37,3352,232
38,3000,2504
39,2984,136
40,2952,4552
41,2936,-2984
42,2776,-424
43,2520,-3096
44,2504,-392
45,2424,4040
46,2392,-856
47,2376,-1416
48,2360,-3656
49,2344,40
50,1832,-3112
51,1768,-5160
52,936,-5752
53,792,2968
54,792,6056
55,776,3560
56,744,2360
57,712,1944
58,296,4008
59,232,2456
60,200,4408
61,-200,-4648
62,-296,-2888
63,-392,-968
64,-936,1816
65,-1016,-1944
66,-1352,-2088
67,-1432,1912
68,-1544,-1256
69,-1560,-4168
70,-1896,344
71,-1896,5784
72,-2008,-4744
73,-2392,-1896
74,-2520,-4728
75,-2520,-2440
76,-2616,4008
77,-2920,6040
78,-3064,5016
79,-3240,-2584
80,-3496,2440
81,-3576,5544
82,-3624,1432
83,-3720,4920
84,-3752,-5128
85,-3768,1848
86,-3976,-2536
87,-4136,-3032
88,-4184,5256
89,-4248,5656
90,-4264,2952
91,-4344,-3528
92,-4520,5512
93,-4600,4632
94,-4600,-312
95,-4696,3832
96,-4728,2760
97,-4792,3512
98,-4808,216
99,-5064,1352
100,-5144,3944
101,-5208,5016
102,-5208,-5832
103,-5224,-360
104,-5288,-4120
105,-5704,4056
106,-5736,2920
107,-5736,-1272
108,-5752,632
109,-5960,3336
